Adult Summary,Run Date: 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2019 - 02/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species: COHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run: NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
08/22/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,N,N,N,,,,,,,
08/23/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,2,0,,,N,N,N,,,,,,,
08/24/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,3,0,,,N,N,N,,,,,,,
08/25/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,4,0,,,N,N,N,,,,,,,
08/26/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,5,0,,,N,N,N,,,,,,,
09/01/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,6,0,,,N,N,N,,,,,,,
09/02/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,7,0,,,N,N,N,,,,,,,
09/03/2019,CO:NA:NASE:2019:H,4,0,,,,,,,,,,,,,,,,,,,,,,,11,0,,,N,N,N,,,,,,,
09/04/2019,CO:NA:NASE:2019:H,4,0,,,,,,,,,,,,,,,,,,,,,,,15,0,,,N,N,N,,,,,,,
09/05/2019,CO:NA:NASE:2019:H,2,0,,,,,,,,,,,,,,,,,,,,,,,17,0,,,N,N,N,,,,,,,
09/05/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,16,0,AD,,Y,N,N,,,,,,,
09/05/2019,CO:NA:NASE:2019:W,1,0,,,,,,,,,,,,,,,,,,,,,,,17,0,,,N,N,N,,,,,,,
09/05/2019,CO:NA:NASE:2019:W,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,16,0,UM,,Y,N,N,,,,,,,
09/06/2019,CO:NA:NASE:2019:H,1,0,,,,,,,,,,,,,,,,,,,,,,,17,0,,,N,N,N,,,,,,,
09/08/2019,CO:NA:NASE:2019:H,2,0,,,,,,,,,,,,,,,,,,,,,,,19,0,,,N,N,N,,,,,,,
09/09/2019,CO:NA:NASE:2019:H,3,1,,,,,,,,,,,,,,,,,,,,,,,22,1,,,N,N,N,,,,,,,
09/10/2019,CO:NA:NASE:2019:H,20,0,,,,,,,,,,,,,,,,,,,,,,,42,1,,,N,N,N,,,,,,,
09/11/2019,CO:NA:NASE:2019:H,15,0,,,,,,,,,,,,,,,,,,,,,,,57,1,,,N,N,N,,,,,,,
09/12/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,62,1,,,N,N,N,,,,,,,
09/13/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,67,1,,,N,N,N,,,,,,,
09/14/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,72,1,,,N,N,N,,,,,,,
09/15/2019,CO:NA:NASE:2019:H,10,0,,,,,,,,,,,,,,,,,,,,,,,82,1,,,N,N,N,,,,,,,
09/16/2019,CO:NA:NASE:2019:H,10,0,,,,,,,,,,,,,,,,,,,,,,,92,1,,,N,N,N,,,,,,,
09/17/2019,CO:NA:NASE:2019:H,20,0,,,,,,,,,,,,,,,,,,,,,,,112,1,,,N,N,N,,,,,,,
09/17/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,0,3,0,,,,,,,,,,,,,109,1,AD,,Y,N,N,,,,,,,
09/18/2019,CO:NA:NASE:2019:H,10,0,,,,,,,,,,,,,,,,,,,,,,,119,1,,,N,N,N,,,,,,,
09/19/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,124,1,,,N,N,N,,,,,,,
09/20/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,129,1,,,N,N,N,,,,,,,
09/21/2019,CO:NA:NASE:2019:H,5,0,,,,,,,,,,,,,,,,,,,,,,,134,1,,,N,N,N,,,,,,,
09/21/2019,CO:NA:NASE:2019:H,0,0,,,,,,,,0,0,1,,,,,,,,,,,,,134,0,AD,,Y,N,N,,,,,,,
09/21/2019,CO:NA:NASE:2019:W,1,0,,,,,,,,,,,,,,,,,,,,,,,135,0,,,N,N,N,,,,,,,
09/21/2019,CO:NA:NASE:2019:W,0,0,,,,,,,,1,0,0,,,,,,,,,,,,,134,0,UM,,Y,N,N,,,,,,,
